Other North American origins,Caribbean origins,Buddhist,No religious affiliation,Non-Aboriginal languages,English,Between 5 and 6:59 a.m.,4 or more bedrooms,Spending less than 30% of household total income on shelter costs,Average income ($),After-tax income as a % of total income,Household total income in 2010 of private households,"$10,000 to $14,999",Average household total income ($),Prevalence of low income in 2010 based on after-tax low-income measure (%),
0.336524923,0.00912419,0.00625176,0.197521825,0.148859476,0.590481554,0.136355956,0.141312306,0.29062236,0.644212898,0.000910166,0.347620389,0.002703464,1.391450296,5.52E-05,0
0.26728705,0.016169899,0.005850647,0.249596904,0.189800525,0.539042705,0.098171097,0.077071912,0.317040586,0.325406551,0.000796978,0.43985811,0.016722716,0.606624591,0.000144654,1
0.149353852,0.04286278,0.011689849,0.267238828,0.390253527,0.631597119,0.061704646,0.059041136,0.330620499,0.694623656,0.000751702,0.515241196,0.016868896,1.147459801,0.000145013,1
0.334928459,0.007417333,0.002249127,0.27740824,0.077666651,0.527874815,0.11432263,0.101928506,0.327654687,0.4010145,0.000800115,0.427286213,0.013016222,0.749476001,0.000138776,0
0.28881158,0.002422812,0.000310617,0.248431385,0.103124806,0.535752003,0.10355967,0.081505871,0.350313723,0.466819904,0.001069765,0.439522892,0.021184072,0.868758154,0.000173945,1
0.063979093,0.038910129,0.055655036,0.365048638,0.751730146,0.419880947,0.070076949,0.088757683,0.213134588,0.281430576,0.000854668,0.338285825,0.008808014,0.663166046,0.000212941,1
0.119798705,0.063417362,0.017380364,0.163878664,0.580960813,0.489818741,0.097851917,0.056008574,0.242905736,0.285075253,0.000822888,0.366059363,0.011462653,0.599506081,0.000195704,1
0.111210628,0.097526994,0.011693288,0.135443101,0.535254018,0.468477882,0.093347266,0.073593074,0.237149823,0.315669005,0.000868786,0.354381251,0.015425188,0.665532169,0.000238842,1
0.056501123,0.064237584,0.064636885,0.333316696,0.747142501,0.432193661,0.077214874,0.105964562,0.193261792,0.282735213,0.00088545,0.293386573,0.006338907,0.742670327,0.00018268,1
0.121169098,0.134583374,0.009595613,0.138842652,0.454127093,0.542152159,0.119259767,0.132674043,0.223293841,0.360540488,0.000836189,0.309752277,0.006413395,0.893997846,0.000136101,1
0.161607954,0.062281918,0.015343435,0.219253382,0.454710578,0.510683046,0.09158262,0.059318388,0.257349075,0.337756321,0.000814493,0.38951293,0.020362315,0.664193872,0.000225611,1
0.354922166,0.006095155,0.002324052,0.274018856,0.088094716,0.571015128,0.142161807,0.116246437,0.29388292,0.358053059,0.000741066,0.395483447,0.008156106,0.722920412,8.51E-05,0
0.369641171,0.005618508,0.000566572,0.268838527,0.068555241,0.543578848,0.109537299,0.103116147,0.299291785,0.344315392,0.000813975,0.422096317,0.012417375,0.662124646,0.000131256,0
0.138410433,0.033156988,0.036355807,0.397330217,0.450356791,0.727054626,0.059301181,0.018885335,0.347256398,0.698462106,0.000973179,0.580708661,0.018700787,1.084325787,0.000211614,1
0.47289767,0.002988855,0.001874367,0.132776089,0.070719352,0.496656535,0.137791287,0.090273556,0.320516717,0.353232016,0.000879433,0.422847011,0.015957447,0.668905775,0.000158055,0
0.376326168,0.00405488,0.002055213,0.206743321,0.106148975,0.525023607,0.10848192,0.084374826,0.343387213,0.445581292,0.000937622,0.46181192,0.024773649,0.794267622,0.000187746,1
0.093002052,0.018235696,0.020332801,0.146888534,0.598586734,0.568953727,0.069569182,0.142284021,0.224663779,0.429423296,0.00074584,0.328926373,0.006929565,1.016649191,9.76E-05,0
0.242361154,0.00226563,0.001653297,0.271569408,0.087930929,0.553854632,0.080154308,0.09344192,0.339722001,0.460510685,0.001055661,0.428020329,0.01683914,0.86805462,0.000169004,1
0.238749,0.003016684,0.001292865,0.259927353,0.122699009,0.548974943,0.077818137,0.104845164,0.350858831,0.489269224,0.001049067,0.437172936,0.01532968,0.900905005,0.000164994,1
0.428357744,0.002555313,0.000747897,0.19351823,0.043564974,0.481396074,0.130694921,0.096354004,0.333561857,0.481096915,0.00106326,0.418635089,0.014583983,0.902013088,0.000185728,2
0.137648892,0.038350217,0.027218079,0.350050095,0.483413114,0.632917733,0.056773906,0.01046421,0.344150061,0.471690972,0.000916175,0.58282311,0.046198375,0.704519648,0.00034621,1
0.171410438,0.036469267,0.046233462,0.383586389,0.417516965,0.574915784,0.066591808,0.05414246,0.302006542,0.448264414,0.000800664,0.437875311,0.015964458,0.832397598,0.000167944,1
0.15325102,0.020719623,0.024429018,0.406814689,0.426951407,0.640506597,0.044936675,0.070637486,0.300037094,0.75901648,0.000791691,0.506650416,0.019871761,1.317630226,0.000201367,1
0.075756851,0.015352241,0.025252284,0.066908987,0.638194079,0.550863265,0.102013487,0.172939882,0.223540102,0.427461859,0.00079009,0.296714334,0.004495672,1.093127361,8.32E-05,1
0.237189594,0.010199054,0.009016555,0.272615294,0.281976744,0.608642097,0.080065037,0.10696689,0.298383918,0.48454868,0.000808041,0.384657075,0.008770201,0.990461175,0.000104454,1
0.310438596,0.010833333,0.001885965,0.265131579,0.115701754,0.613157895,0.13627193,0.127894737,0.28245614,0.441061404,0.000717544,0.357017544,0.00495614,0.955307018,5.35E-05,1
0.295090826,0.058652367,0.004198362,0.234651037,0.168474872,0.587313464,0.137257347,0.138629089,0.263998005,0.414956146,0.000676726,0.341064971,0.007232822,0.906430561,7.23E-05,0
0.067362516,0.014759978,0.029152106,0.304441788,0.713858746,0.517978665,0.053476182,0.068695972,0.24034394,0.386656244,0.00075869,0.419348906,0.011265404,0.762276991,0.00021979,1
0.268823787,0.010931351,0.003104504,0.193353739,0.241495409,0.498207258,0.093659816,0.078574552,0.324311325,0.323935286,0.000756449,0.42055094,0.013379974,0.607354613,0.000153913,1
0.234580557,0.013326499,0.017426961,0.194729199,0.360157184,0.466512899,0.082906202,0.08397403,0.289680506,0.285819238,0.000745771,0.413420468,0.024261063,0.526858022,0.000225525,2
0.088892243,0.058355971,0.028725224,0.127427307,0.658768488,0.523543616,0.096287353,0.061525304,0.240869303,0.3598853,0.00086226,0.384294195,0.012174263,0.734138243,0.000196197,2
0.330863004,0.011331293,0.007357285,0.307341174,0.149616025,0.6137694,0.172761935,0.115407336,0.257612373,0.442500403,0.000904355,0.355995919,0.004886956,0.964395038,9.67E-05,1
0.094503963,0.132828151,0.038498389,0.126034318,0.582527654,0.491507708,0.117324275,0.039674244,0.248323317,0.272075603,0.000764742,0.387509799,0.015808727,0.536451529,0.000191621,0
0.072890501,0.13005861,0.059866034,0.123406829,0.639315285,0.446320588,0.104846963,0.057447204,0.214857196,0.242748163,0.000842869,0.336961578,0.013768723,0.530914504,0.000225137,1
